order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples,,,,,,,
1,1,1,13378922,31378028,17.999106,10,nan,nan,-43.05471137,-185.5128185,-9.981732325,191.2920175,1261,,,x,x,x,x,x
2,2,1,34077917,43077475,8.999558,20,15,134.99337,-19.38929027,-184.2973448,-5.947627663,185.7333631,631,,,x,x,x,x,x
3,3,1,45777333,51777045,5.999712,30,25,149.9928,-11.65116407,-182.82839,-4.340738406,183.3956739,421,,,x,x,x,x,x
4,4,1,54476872,58962370,4.485498,40,35,156.99243,-7.676522709,-181.0492728,-3.658134256,181.3426244,315,,,x,181.3426244,x,x,x
5,5,1,61662214,65247766,3.585552,50,45,161.34984,-5.282702117,-180.7232268,-3.144146048,180.9197061,252,,,x,x,180.9197061,x,x
6,6,1,67947623,70933188,2.985565,60,55,164.206075,-3.789061527,-179.1607867,-2.854430046,179.3166569,210,,,x,x,x,179.3166569,x
7,7,1,73633053,76190092,2.557039,70,65,166.207535,-2.747100113,-177.715036,-2.704797965,177.8388262,180,,,x,x,x,x,177.8388262
8,8,1,78889955,81132711,2.242756,80,75,168.2067,-1.980208402,-177.5961122,-2.428645288,177.6990686,158,,,x,x,x,x,x
9,9,1,83832568,85832451,1.999883,90,85,169.990055,-1.289999435,-176.9278133,-2.291820115,177.0244745,141,,,x,x,x,x,x
10,10,1,88532314,90332239,1.799925,100,95,170.992875,-0.82059983,-175.6617612,-2.210577751,175.7570276,127,,,x,x,x,x,x
11,1,2,93032101,111031208,17.999107,10,55,989.950885,-42.19965535,-185.0165818,-9.904683264,190.5251308,1261,,,x,x,x,x,x
12,2,2,113731053,122730596,8.999543,20,15,134.993145,-19.28472484,-183.8692358,-5.909849382,185.3644149,631,,,x,x,x,x,x
13,3,2,125430474,131430158,5.999684,30,25,149.9921,-11.58383915,-182.7431853,-4.388001301,183.2951768,421,,,x,x,x,x,x
14,4,2,134130026,138615515,4.485489,40,35,156.992115,-7.524053285,-181.2352487,-3.580865446,181.5259592,315,,,x,181.5259592,x,x,x
15,5,2,141315415,144900936,3.585521,50,45,161.348445,-5.375808827,-180.2606232,-3.21320557,180.4462357,252,,,x,x,180.4462357,x,x
16,6,2,147600812,150586363,2.985551,60,55,164.205305,-3.936045308,-179.1228621,-2.905707434,179.277371,210,,,x,x,x,179.277371,x
17,7,2,153286214,155843219,2.557005,70,65,166.205325,-2.759254589,-177.6160445,-2.539503333,177.7496742,180,,,x,x,x,x,177.7496742
