order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples
1,1,1,13378922,31378028,17.999106,10.0,nan,nan,-41.296403770626,-183.829871641426,-10.133111578262005,189.21273158025707,1261
2,2,1,34077917,43077475,8.999558,20.0,15.0,134.99337,-18.596229983667982,-180.90632517256807,-6.008962327166012,182.25811613028316,631
3,3,1,45777333,51777045,5.999712000000002,30.0,25.0,149.99280000000005,-11.173798836102012,-178.89764169540192,-4.375992071874008,179.4307895543545,421
4,4,1,54476872,58962370,4.485498,40.0,35.0,156.99242999999998,-7.361275871758001,-176.8749886905079,-3.6782952547460015,177.15089056080078,315
5,5,1,61662214,65247766,3.585552,50.0,45.0,161.34984,-5.065078422142006,-176.38383274714184,-3.156961819454003,176.5676872227994,252
6,6,1,67947623,70933188,2.9855650000000082,60.0,55.0,164.20607500000045,-3.632403066765039,-174.74877709696514,-2.8615542723300096,174.89361459351397,210
7,7,1,73633053,76190092,2.557039000000003,70.0,65.0,166.2075350000002,-2.6329845552190054,-173.26034851756953,-2.7069975706780074,173.37533586846814,180
8,8,1,78889955,81132711,2.242756,80.0,75.0,168.2067,-1.897403225175992,-173.08390522337618,-2.4297299609619927,173.1792458146836,158
9,9,1,83832568,85832451,1.9998830000000112,90.0,85.0,169.99005500000095,-1.2353191646430322,-172.3872096577433,-2.2908941761160024,172.4762741920992,141
10,10,1,88532314,90332239,1.7999250000000018,100.0,95.0,170.99287500000017,-0.785094424475039,-171.11771563837502,-2.207525257499984,171.20531999932354,127
11,1,2,93032101,111031208,17.99910700000001,10.0,55.0,989.9508850000005,-40.475778305247026,-183.34745608594687,-10.057218561663987,188.48346200040203,1261
12,2,2,113731053,122730596,8.999543000000003,20.0,15.0,134.99314500000003,-18.49587510435297,-180.49013670700316,-5.971750612386028,181.8979642593348,631
13,3,2,125430474,131430158,5.999684000000002,30.0,25.0,149.99210000000005,-11.109184928563916,-178.81480459141468,-4.422545375968034,179.33424405078011,421
14,4,2,134130026,138615515,4.485489000000001,40.0,35.0,156.99211500000004,-7.214945949619027,-177.0557831498188,-3.602185618927982,177.32854740130983,315
15,5,2,141315415,144900936,3.585521,50.0,45.0,161.348445,-5.154436044891031,-175.9341072505411,-3.224984668991981,176.10865202015052,252
16,6,2,147600812,150586363,2.985551000000015,60.0,55.0,164.20530500000083,-3.7734682678210207,-174.71190608452156,-2.9120620715520023,174.85558013549934,210
17,7,2,153286214,155843219,2.5570050000000037,70.0,65.0,166.20532500000024,-2.6446496530549655,-173.16410743090455,-2.5441824154600114,173.28750492298207,180
18,8,2,158543107,160785827,2.24272000000002,80.0,75.0,168.20400000000149,-1.5528883553700545,-172.5555626788704,-2.461889441140012,172.66284694155263,158
19,9,2,163485725,165485636,1.9999109999999973,90.0,85.0,169.99243499999977,-1.0544839005810172,-171.98111153828125,-2.3270518528719517,172.0843038895829,141
20,10,2,168185474,169985370,1.7998959999999897,100.0,95.0,170.99011999999902,-0.6632698423660279,-170.8795773621646,-2.210707090391976,170.97782646700318,127
21,1,3,172685272,190684359,17.999087000000003,10.0,55.0,989.9497850000001,-40.580061949727025,-183.29246801747695,-9.992070881124047,188.49525028250383,1261
22,2,3,193384201,202383755,8.999554000000018,20.0,15.0,134.99331000000026,-18.597377214034054,-180.3898938637842,-5.667037185357975,181.70510186831268,631
23,3,3,205083606,211083313,5.999707000000001,30.0,25.0,149.99267500000002,-11.097136285646956,-178.8885639224473,-4.348509944964043,179.39294484852653,421
24,4,3,213783220,218268691,4.48547099999999,40.0,35.0,156.99148499999964,-7.193709742991003,-176.7865985524404,-3.6924477325919733,177.07139040673871,315
25,5,3,220968574,224554069,3.5854950000000088,50.0,45.0,161.3472750000004,-5.162852659945049,-175.91795363924456,-3.1691052335400394,176.10314278798913,252
26,6,3,227253963,230239533,2.9855699999999956,60.0,55.0,164.20634999999976,-3.4555687313699845,-174.37700101022017,-2.9158930979900157,174.49229772615286,210
27,7,3,232939370,235496415,2.5570450000000164,70.0,65.0,166.20792500000107,-2.7161437442950342,-173.95856522509564,-2.4392186914899865,174.0990590948202,180
28,8,3,238196260,240439007,2.2427470000000085,80.0,75.0,168.20602500000064,-1.84529174043697,-173.13240116523804,-2.46394947264403,173.21404933227478,158
29,9,3,243138872,245138792,1.999920000000003,90.0,85.0,169.99320000000026,-1.2079566611200354,-172.1211938914695,-2.3832585406399476,172.25219816853104,141
30,10,3,247838623,249638574,1.799950999999993,100.0,95.0,170.99534499999933,-0.717791953870997,-170.74602562427137,-2.283386061302003,170.87109081142233,127
