order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples,,,,,,,
1,1,1,7279215,25278338,17.999123,10,nan,nan,-41.99399957,2.833807912,173.1273665,178.6480148,1261,,,178.6480148,x,x,x,x
2,2,1,27978213,36977760,8.999547,20,15,134.993205,-20.16811836,1.147366958,177.0678847,178.3849048,631,,,x,x,x,x,x
3,3,1,39677620,45677302,5.999682,30,25,149.99205,-12.84154701,0.734844355,177.4676727,178.0635691,421,,,x,178.0635691,x,x,x
4,4,1,48377168,52862660,4.485492,40,35,156.99222,-9.096799321,0.477311893,176.6978808,177.0602467,315,,,x,x,x,x,x
5,5,1,55562519,59148067,3.585548,50,45,161.34966,-7.092315936,0.402972612,175.8501062,176.1051409,252,,,x,x,176.1051409,x,x
6,6,1,61847920,64833483,2.985563,60,55,164.205965,-5.62731181,0.363234362,175.277824,175.4803464,210,,,x,x,x,x,x
7,7,1,67533358,70090394,2.557036,70,65,166.20734,-4.525584735,0.363682984,174.4612327,174.607623,180,,,x,x,x,174.607623,x
8,8,1,72790271,75032969,2.242698,80,75,168.20235,-3.847364818,0.119716583,174.2448862,174.3809295,158,,,x,x,x,x,x
9,9,1,77732862,79732742,1.99988,90,85,169.9898,-3.238869805,0.204878344,173.0908683,173.2163004,141,,,x,x,x,x,173.2163004
10,10,1,82432616,84232541,1.799925,100,95,170.992875,-2.880288175,0.363685712,172.0847326,172.203677,127,,,x,x,x,x,x
11,1,2,86932419,104931490,17.999071,10,55,989.948905,-41.3744842,1.526281304,173.9249858,179.3940095,1261,,,179.3940095,x,x,x,x
12,2,2,107631381,116630901,8.99952,20,15,134.9928,-19.88732799,0.812604601,176.7521714,178.0457123,631,,,x,x,x,x,x
13,3,2,119330784,125330483,5.999699,30,25,149.992475,-12.72303872,0.505970275,177.5391354,178.1303016,421,,,x,178.1303016,x,x,x
14,4,2,128030331,132515810,4.485479,40,35,156.991765,-9.201651823,0.45988815,176.6746665,177.0215845,315,,,x,x,x,x,x
15,5,2,135215682,138801236,3.585554,50,45,161.34993,-6.982741653,0.382072108,176.1623807,176.3764177,252,,,x,x,176.3764177,x,x
16,6,2,141501076,144486670,2.985594,60,55,164.20767,-5.579861805,0.389152175,174.9436263,175.1527429,210,,,x,x,x,x,x
17,7,2,147186519,149743565,2.557046,70,65,166.20799,-4.704259339,0.251087428,174.6142109,174.7853967,180,,,x,x,x,174.7853967,x
18,8,2,152443413,154686122,2.242709,80,75,168.203175,-4.065290815,0.087241537,174.1216685,174.2814684,158,,,x,x,x,x,x
19,9,2,157386020,159385925,1.999905,90,85,169.991925,-3.13945876,0.153628451,173.5239976,173.654294,141,,,x,x,x,x,173.654294
20,10,2,162085791,163885675,1.799884,100,95,170.98898,-2.832275377,0.552899414,172.3564959,172.480724,127,,,x,x,x,x,x
21,1,3,166585536,184584665,17.999129,10,55,989.952095,-41.33485616,1.282599658,174.0120449,179.3768566,1261,,,179.3768566,x,x,x,x
22,2,3,187284503,196284068,8.999565,20,15,134.993475,-20.01811592,0.634286002,177.2419113,178.5743169,631,,,x,x,x,x,x
23,3,3,198983956,204983633,5.999677,30,25,149.991925,-12.78883107,0.404864789,177.661402,178.2487153,421,,,x,178.2487153,x,x,x
