order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples
1,1,1,7279215,25278338,17.999123,10.0,nan,nan,-37.45156064350288,2.8248487043244377,170.55774673749238,175.05770774289306,1261
2,2,1,27978213,36977760,8.999547000000003,20.0,15.0,134.99320500000005,-17.9865579713773,1.143739507261441,174.43977834018625,175.51750820737908,631
3,3,1,39677620,45677302,5.999682,30.0,25.0,149.99205,-11.452492774025396,0.7325211126920239,174.83363247939158,175.32659294266438,421
4,4,1,48377168,52862660,4.485492000000001,40.0,35.0,156.99222000000003,-8.112809804470132,0.4758028500695036,174.07526619507865,174.37913988090023,315
5,5,1,55562519,59148067,3.5855479999999957,50.0,45.0,161.3496599999998,-6.325148905071735,0.4016985963879657,173.24007457627695,173.45656525798694,252
6,6,1,61847920,64833483,2.985562999999999,60.0,55.0,164.20596499999994,-5.018612461138352,0.36208598035625233,172.67628637284034,172.84995787501433,210
7,7,1,67533358,70090394,2.5570359999999965,70.0,65.0,166.20733999999976,-4.036057839227592,0.3625331839651919,171.8718152280281,171.99772054828793,180
8,8,1,72790271,75032969,2.24269799999999,80.0,75.0,168.20234999999926,-3.4312001306699837,0.11933809398626943,171.65867975505745,171.77677133476652,158
9,9,1,77732862,79732742,1.9998800000000045,90.0,85.0,169.9898000000004,-2.888525269573526,0.20423061260071373,170.5217902421604,170.6315812058511,141
10,10,1,82432616,84232541,1.7999250000000018,100.0,95.0,170.99287500000017,-2.568730970599801,0.36253590398938434,169.53058802526175,169.6342760403502,127
11,1,2,86932419,104931490,17.999071,10.0,55.0,989.9489050000001,-36.899057488758984,1.5214558991105536,171.3435274365753,175.811421830942,1261
12,2,2,107631381,116630901,8.99951999999999,20.0,15.0,134.99279999999985,-17.736140353526643,0.8100355156871907,174.12875094633543,175.18935036535552,631
13,3,2,119330784,125330483,5.999699000000007,30.0,25.0,149.99247500000018,-11.346803379221196,0.5043706279706077,174.904034541934,175.3915067369337,421
14,4,2,128030331,132515810,4.485478999999998,40.0,35.0,156.99176499999993,-8.206320541320853,0.4584341939030441,174.0523963944128,174.3419094258107,315
15,5,2,135215682,138801236,3.585554000000002,50.0,45.0,161.34993000000009,-6.227427136645152,0.3808641702520367,173.5477141306602,173.72675029147922,252
16,6,2,141501076,144486670,2.985593999999992,60.0,55.0,164.20766999999955,-4.9762950636874255,0.3879218536460752,172.3470489541518,172.52666834557664,210
17,7,2,147186519,149743565,2.5570459999999855,70.0,65.0,166.20798999999906,-4.19540543215901,0.25029360412544377,172.0225228327327,172.17115899398175,180
18,8,2,152443413,154686122,2.242709000000019,80.0,75.0,168.20317500000144,-3.6255533424739292,0.08696571955374052,171.5372909773938,171.67645942509031,158
19,9,2,157386020,159385925,1.999904999999984,90.0,85.0,169.99192499999864,-2.799867394442184,0.15314274780737125,170.9484909096816,171.0629128743856,141
20,10,2,162085791,163885675,1.7998839999999916,100.0,95.0,170.9889799999992,-2.5259116574641918,0.5511513986305537,169.7983176783184,169.90758440757625,127
21,1,3,166585536,184584665,17.99912900000001,10.0,55.0,989.9520950000006,-36.86371596070164,1.2785446632958384,171.4292944481514,175.80222041163435,1261
22,2,3,187284503,196284068,8.99956499999999,20.0,15.0,134.99347499999985,-17.852781109907724,0.6322806795127724,174.61122193498107,175.70538318127217,631
23,3,3,198983956,204983633,5.999676999999991,30.0,25.0,149.99192499999978,-11.405479054957055,0.40358479083395166,175.02448645452148,175.51014118937331,421
24,4,3,207683514,212169020,4.485505999999987,40.0,35.0,156.99270999999953,-8.254282165297816,0.2980617745559819,174.34488312781735,174.64349704222164,315
25,5,3,214868862,218454407,3.585544999999996,50.0,45.0,161.34952499999983,-6.202620414791639,0.2903521172315521,173.6258773827946,173.8253473113696,252
26,6,3,221154243,224139840,2.9855969999999843,60.0,55.0,164.20783499999914,-4.89352696464793,0.35738890715506955,172.37269286307333,172.51987589894378,210
27,7,3,226839666,229396681,2.557015000000007,70.0,65.0,166.20597500000045,-4.190885712329283,0.4206653012984934,171.177713145008,171.34096380139,180
28,8,3,232096597,234339294,2.2426969999999926,80.0,75.0,168.20227499999945,-3.5721717740549535,0.15817544361420208,171.13512664525365,171.24909389494618,158
29,9,3,237039174,239039105,1.9999310000000037,90.0,85.0,169.9941350000003,-3.017233681905922,0.22433054725245993,171.51990205245195,171.64902646429596,141
30,10,3,241738925,243538841,1.799915999999996,100.0,95.0,170.99201999999963,-2.474688130888488,0.15504572595762736,170.40416513075823,170.53814319539632,127
31,1,4,246238716,264237821,17.999104999999986,10.0,55.0,989.9507749999992,-36.99573032049564,1.0904051162322006,171.96853487389737,176.50612763259699,1261
32,2,4,266937661,275937237,8.99957599999999,20.0,15.0,134.99363999999986,-17.76631751747211,0.547931036142044,174.6644720463484,175.73703487404703,631
33,3,4,278637100,284636791,5.999691000000041,30.0,25.0,149.99227500000103,-11.3768197360614,0.4638973574432729,175.03304236754082,175.52886828040135,421
34,4,4,287336665,291822168,4.485502999999994,40.0,35.0,156.9926049999998,-8.199259226046593,0.3492691701036622,174.55474666668067,174.82089233283352,315
35,5,4,294522044,298107576,3.5855320000000006,50.0,45.0,161.34894000000003,-6.315897094809451,0.4079354522405962,173.40922566080107,173.61696463700167,252
36,6,4,300807419,303792959,2.9855400000000145,60.0,55.0,164.2047000000008,-4.985643216263072,0.17915712865295674,172.863524720564,173.02616617919313,210
37,7,4,306492857,309049861,2.5570040000000063,70.0,65.0,166.2052600000004,-4.158017065773848,0.23486011472327908,171.67298699166992,171.8060526503755,180
38,8,4,311749722,313992462,2.2427399999999693,80.0,75.0,168.2054999999977,-3.558929438228356,0.13881205040645456,171.149099195697,171.27728394664575,158
39,9,4,316692358,318692216,1.9998579999999606,90.0,85.0,169.98792999999665,-2.99546448113895,0.37622267185929525,170.6262813555166,170.73637895403306,141
40,10,4,321392106,323192032,1.7999259999999708,100.0,95.0,170.99296999999723,-2.4788973626171886,0.33906316043490786,170.33334033113073,170.4216403630024,127
41,1,5,325891862,343890957,17.99909500000001,10.0,55.0,989.9502250000006,-36.93002800620502,0.9037424819520564,171.34135321156856,175.81800882577608,1261
42,2,5,346590862,355590413,8.999550999999997,20.0,15.0,134.99326499999995,-17.751158288614135,0.5556507359548166,174.42137317790758,175.45178223534015,631
43,3,5,358290271,364289962,5.999690999999984,30.0,25.0,149.9922749999996,-11.406160141890261,0.3820542954495964,174.94462582411182,175.44385033837054,421
44,4,5,366989805,371475308,4.485502999999994,40.0,35.0,156.9926049999998,-8.179275961102372,0.33999378382856515,174.14571148898102,174.4331772211471,315
45,5,5,374175174,377760704,3.585529999999949,50.0,45.0,161.3488499999977,-6.29903801415567,0.21802878399793993,173.38545349584717,173.57741929880606,252
46,6,5,380460577,383446162,2.9855850000000146,60.0,55.0,164.2071750000008,-5.068489076952089,0.17013087865643386,172.5332929731107,172.70333858086008,210
47,7,5,386146014,388703030,2.557016000000033,70.0,65.0,166.20604000000213,-4.238882996654798,0.06898378336147676,172.02329224193366,172.1788118271773,180
48,8,5,391402870,393645654,2.242783999999972,80.0,75.0,168.2087999999979,-3.455709210943205,0.2337274284978941,171.66538278226193,171.8049973205816,158
49,9,5,396345514,398345403,1.999888999999996,90.0,85.0,169.99056499999966,-3.007591418807488,0.5090705844494101,171.0136835177815,171.1314235150163,141
50,10,5,401045271,402845152,1.7998809999999708,100.0,95.0,170.98869499999722,-2.549732277141108,0.24267911725840458,169.618766977683,169.73459506251896,127
