order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples
1,1,1,13021811,31020894,17.999083,10.0,nan,nan,-183.68937910813656,4.801220409253756,-11.473410750287815,184.23997487397975,1261
2,2,1,33720768,42720323,8.999555,20.0,15.0,134.99332500000003,-164.87206634879738,4.556352032474753,-7.019452642971597,165.27829033901054,631
3,3,1,45420169,51419908,5.999738999999998,30.0,25.0,149.99347499999996,-158.34501249349444,4.203041172697076,-5.649628094481614,158.5426124340531,421
4,4,1,54119762,58605263,4.485500999999999,40.0,35.0,156.99253499999998,-154.3024503886889,3.925989959775808,-5.051109243797577,154.454063291735,315
5,5,1,61305087,64890657,3.585570000000004,50.0,45.0,161.3506500000002,-151.28403681721701,3.9261806952117175,-4.557157815144326,151.4262573201486,252
6,6,1,67590511,70576091,2.985579999999999,60.0,55.0,164.20689999999993,-149.8118283523996,3.729290350280138,-4.220626192917221,149.94226952339085,210
7,7,1,73275922,75832964,2.55704200000001,70.0,65.0,166.20773000000065,-147.59531230525198,4.249058951979755,-4.069734991316965,147.74185638894556,180
8,8,1,78532812,80775584,2.242771999999988,80.0,75.0,168.20789999999909,-146.30418569488918,3.6864014688787634,-3.9694718049243636,146.4279231472969,158
9,9,1,83475439,85475311,1.9998720000000105,90.0,85.0,169.9891200000009,-145.55006910862295,4.081359698367216,-3.7617599776848314,145.69211683476485,141
10,10,1,88175215,89975116,1.7999010000000055,100.0,95.0,170.99059500000052,-144.47747191347216,3.6654420926411575,-3.7070771284890642,144.6093704227959,127
11,1,2,92674969,110674049,17.999079999999992,10.0,55.0,989.9493999999995,-183.9987626956172,5.2072336839822135,-11.763793324509457,184.5742986835779,1261
12,2,2,113373915,122373465,8.99955,20.0,15.0,134.99325,-164.9977893663437,4.580924947456722,-7.265204579589894,165.40533406513282,631
13,3,2,125073337,131073055,5.999718000000016,30.0,25.0,149.9929500000004,-158.5466631563462,4.170856164941989,-5.820536944573501,158.74661961915092,421
14,4,2,133772909,138258401,4.485491999999994,40.0,35.0,156.99221999999978,-154.30893614254003,3.9934896232573496,-5.174406971890665,154.46775149397791,315
15,5,2,140958268,144543794,3.5855259999999873,50.0,45.0,161.34866999999943,-151.30760117040546,4.046384991707976,-4.566563793559796,151.4590542012924,252
16,6,2,147243674,150229211,2.9855369999999937,60.0,55.0,164.20453499999965,-149.56460757360588,4.015009147013377,-4.346275823864302,149.70463412688963,210
17,7,2,152929110,155486110,2.556999999999988,70.0,65.0,166.20499999999922,-147.54809038150134,4.119924879217171,-4.046201836367761,147.6881526221723,180
18,8,2,158185959,160428707,2.242748000000006,80.0,75.0,168.20610000000045,-146.40410970418174,3.794283643921726,-3.9611840110270142,146.53830837496332,158
