order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples
1,1,1,13021811,31020894,17.999083,10.0,nan,nan,-231.84581768860403,4.739624239789802,-11.392942798695703,232.27509611576482,1261
2,2,1,33720768,42720323,8.999555,20.0,15.0,134.99332500000003,-208.09531406899688,4.497897346372691,-6.970222210298069,208.411649743456,631
3,3,1,45420169,51419908,5.999738999999998,30.0,25.0,149.99347499999996,-199.85711246187282,4.149119208223534,-5.6100048290102915,200.01077354384117,421
4,4,1,54119762,58605263,4.485500999999999,40.0,35.0,156.99253499999998,-194.75474279142037,3.875622361069021,-5.015683647785844,194.87263516155357,315
5,5,1,61305087,64890657,3.585570000000004,50.0,45.0,161.3506500000002,-190.94501483655415,3.8758106495078684,-4.5251965124029025,191.0555755283238,252
6,6,1,67590511,70576091,2.985579999999999,60.0,55.0,164.20689999999993,-189.08684874665335,3.6814462646486166,-4.191025130811817,189.18819191937473,210
7,7,1,73275922,75832964,2.55704200000001,70.0,65.0,166.20773000000065,-186.2892456524193,4.19454661283281,-4.041192193939488,186.40299189333444,180
8,8,1,78532812,80775584,2.242771999999988,80.0,75.0,168.20789999999909,-184.65963426077286,3.6391076164341687,-3.9416321962851537,184.7557270283832,158
9,9,1,83475439,85475311,1.9998720000000105,90.0,85.0,169.9891200000009,-183.70781670101888,4.028998818800128,-3.7353771411967447,183.8180526228845,141
10,10,1,88175215,89975116,1.7999010000000055,100.0,95.0,170.99059500000052,-182.3540249087681,3.6184171337653934,-3.681077806280888,182.4563828108788,127
11,1,2,92674969,110674049,17.999079999999992,10.0,55.0,989.9493999999995,-232.23631000322314,5.14042865919752,-11.681288795352554,232.68504448833139,1261
12,2,2,113373915,122373465,8.99955,20.0,15.0,134.99325,-208.25399692778177,4.5221550087092,-7.21425058315927,208.57126764731927,631
13,3,2,125073337,131073055,5.999718000000016,30.0,25.0,149.9929500000004,-200.11162833559024,4.117347110733523,-5.779715022017969,200.2671479446514,421
14,4,2,133772909,138258401,4.485491999999994,40.0,35.0,156.99221999999978,-194.7629288657173,3.942256052910819,-5.138116636018087,194.88642631094473,315
15,5,2,140958268,144543794,3.5855259999999873,50.0,45.0,161.34866999999943,-190.97475687585882,3.9944728122160154,-4.534536522656656,191.09244915125663,252
16,6,2,147243674,150229211,2.9855369999999937,60.0,55.0,164.20453499999965,-188.77481598848664,3.9634994968123354,-4.315793526994392,188.88359260839712,210
17,7,2,152929110,155486110,2.556999999999988,70.0,65.0,166.20499999999922,-186.22964391835092,4.067069236399793,-4.017824087101475,186.3383603696262,180
18,8,2,158185959,160428707,2.242748000000006,80.0,75.0,168.20610000000045,-184.78575458277322,3.7456057415544737,-3.933402528241803,184.88992330327622,158
19,9,2,163128581,165128488,1.9999070000000074,90.0,85.0,169.99209500000063,-183.63175778970663,3.6631050428136476,-3.777258958056141,183.74284000331656,141
20,10,2,167828337,169628268,1.7999309999999866,100.0,95.0,170.99344499999873,-182.3400126644476,4.020237360820454,-3.7921534260405863,182.45653485731256,127
21,1,3,172328138,190327238,17.9991,10.0,55.0,989.9504999999999,-231.50407543864588,4.862109382043462,-11.57568983451875,231.94757762681206,1261
22,2,3,193027091,202026663,8.999572,20.0,15.0,134.99358,-208.16987358448847,4.3856239309271015,-7.192813383028994,208.4807147355574,631
23,3,3,204726511,210726228,5.999717000000004,30.0,25.0,149.9929250000001,-199.85501917051414,4.125112254100776,-5.835502352592249,200.01334914724896,421
24,4,3,213426049,217911570,4.485521000000006,40.0,35.0,156.9932350000002,-194.70309279414772,3.9635736773720454,-5.056363590008811,194.82834344582827,315
25,5,3,220611442,224196941,3.5854989999999987,50.0,45.0,161.34745499999994,-191.33606022828684,3.9603537807094726,-4.683172240240334,191.45956134524442,252
26,6,3,226896825,229882406,2.9855809999999963,60.0,55.0,164.2069549999998,-188.4526637156366,3.8858290734749006,-4.290840245641016,188.56019210613232,210
27,7,3,232582272,235139279,2.5570069999999987,70.0,65.0,166.20545499999992,-187.08159278140317,3.213953541056517,-4.038043471390923,187.18022594141695,180
28,8,3,237839127,240081862,2.2427350000000104,80.0,75.0,168.20512500000078,-184.99637079886278,4.046058641612446,-3.8011812402290395,185.1109118686948,158
29,9,3,242781762,244781634,1.9998720000000105,90.0,85.0,169.9891200000009,-184.07740851539,3.463236937061869,-3.802541729142348,184.1771853174951,141
30,10,3,247481491,249281449,1.7999580000000037,100.0,95.0,170.99601000000035,-182.084081571248,4.254378218864674,-3.6633917070050956,182.20261976603112,127
31,1,4,251981279,269980383,17.999104000000017,10.0,55.0,989.950720000001,-231.0710033397922,4.666032536465026,-11.280105418883913,231.49094658008943,1261
32,2,4,272680279,281679785,8.999505999999997,20.0,15.0,134.99258999999995,-208.04687307611852,4.694636776929282,-7.398218830600605,208.36497188577252,631
33,3,4,284379646,290379356,5.999709999999993,30.0,25.0,149.99274999999983,-199.4611061320588,4.112699028289233,-5.688130670159145,199.61411088509897,421
34,4,4,293079211,297564708,4.485497000000009,40.0,35.0,156.99239500000033,-194.54157258619148,4.12457495415156,-5.047967620564613,194.6687836528539,315
35,5,4,300264602,303850127,3.5855249999999614,50.0,45.0,161.34862499999826,-191.27398336604102,3.9506586073711754,-4.667744499443848,191.39653314294569,252
36,6,4,306550016,309535580,2.985563999999954,60.0,55.0,164.20601999999747,-188.6552713503832,4.0619966574572635,-4.3134011669498875,188.77424115805223,210
37,7,4,312235439,314792450,2.5570109999999886,70.0,65.0,166.20571499999926,-186.79332872974393,3.6029939646494586,-4.105450738578216,186.8997371144609,180
38,8,4,317492316,319735048,2.2427319999999895,80.0,75.0,168.2048999999992,-185.06898499126518,4.162123271610424,-3.9573246300342357,185.1868154091219,158
39,9,4,322434915,324434796,1.9998810000000162,90.0,85.0,169.98988500000138,-183.67715667719781,3.8404874545798293,-3.8860396626202434,183.7902262375087,141
40,10,4,327134688,328934604,1.799915999999996,100.0,95.0,170.99201999999963,-181.72856015177476,4.077941823986665,-3.6655870382055826,181.83674772468845,127
41,1,5,331634442,349633545,17.999103000000048,10.0,55.0,989.9506650000026,-231.35593238167024,4.9778164285410025,-11.526896931490231,231.79799644640914,1261
42,2,5,352333391,361332960,8.999569000000008,20.0,15.0,134.99353500000012,-208.19364091420798,4.140262428810445,-7.120424666557018,208.49270898289672,631
43,3,5,364032825,370032507,5.999682000000007,30.0,25.0,149.99205000000018,-199.9138949269758,4.093436588627727,-5.908542121062137,200.07250863320183,421
44,4,5,372732387,377217873,4.48548599999998,40.0,35.0,156.9920099999993,-194.5926166125219,3.9774871456913177,-5.055078633154385,194.71592219163915,315
45,5,5,379917726,383503293,3.585566999999969,50.0,45.0,161.3505149999986,-191.44684042122606,4.012043346745036,-4.780238688213451,191.56571387099677,252
46,6,5,386203169,389188707,2.9855380000000196,60.0,55.0,164.20459000000108,-188.34847029583432,4.162225937932117,-4.36579030270687,188.46892171066997,210
47,7,5,391888569,394445602,2.55703299999999,70.0,65.0,166.20714499999934,-186.22859696869887,3.636880431617535,-4.230608578253193,186.33904754517428,180
48,8,5,397145464,399388199,2.242734999999982,80.0,75.0,168.20512499999865,-185.43004029982393,3.632843461544559,-3.980865677365773,185.5360656800574,158
49,9,5,402088065,404087971,1.99990600000001,90.0,85.0,169.99201000000085,-184.02232170703,3.7587389417790162,-3.8339393568359754,184.13290655362067,141
50,10,5,406787818,408587751,1.79993300000001,100.0,95.0,170.99363500000095,-182.44785583383603,3.685282842590877,-3.6774690090263378,182.55222369554002,127
