order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples
1,1,1,13021811,31020894,17.999083,10.0,nan,nan,-222.48545530359297,1.1237703539570005,-11.52314816521599,222.88553786218012,1261
2,2,1,33720768,42720323,8.999555,20.0,15.0,134.99332500000003,-199.70362498740496,2.6306975445950056,-7.016214033109987,199.99567373355146,631
3,3,1,45420169,51419908,5.999738999999998,30.0,25.0,149.99347499999996,-191.80125493831895,2.872268766631014,-5.626215142678001,191.93736870953717,421
4,4,1,54119762,58605263,4.485500999999999,40.0,35.0,156.99253499999998,-186.90641395517093,2.899480566079005,-5.015476314102004,187.01109235713074,315
5,5,1,61305087,64890657,3.585570000000004,50.0,45.0,161.3506500000002,-183.25132348882022,3.073851554980001,-4.5172915978400106,183.35081260021855,252
6,6,1,67590511,70576091,2.985579999999999,60.0,55.0,164.20689999999993,-181.46880099203037,3.001032763269996,-4.178095619910011,181.5610460488036,210
7,7,1,73275922,75832964,2.55704200000001,70.0,65.0,166.20773000000065,-178.7844352710322,3.5827890556680644,-4.023340875283992,178.88807065003493,180
8,8,1,78532812,80775584,2.242771999999988,80.0,75.0,168.20789999999909,-177.22087339146165,3.103648995587987,-3.920016603293994,177.3094109860917,158
9,9,1,83475439,85475311,1.9998720000000105,90.0,85.0,169.9891200000009,-176.30771497341266,3.529696160388032,-3.7127921952939924,176.40984752728383,141
10,10,1,88175215,89975116,1.7999010000000055,100.0,95.0,170.99059500000052,-175.0087098995209,3.169255554879069,-3.655961841251985,175.10479123235731,127
11,1,2,92674969,110674049,17.999079999999992,10.0,55.0,989.9493999999995,-222.86022366138013,1.51341237231995,-11.807167829659985,223.27484962479718,1261
12,2,2,113373915,122373465,8.99955,20.0,15.0,134.99325,-199.85591816754996,2.654280563800024,-7.256580972500048,200.14855007517178,631
13,3,2,125073337,131073055,5.999718000000016,30.0,25.0,149.9929500000004,-192.045522245578,2.8413856326219924,-5.793378688686021,192.18348016383663,421
14,4,2,133772909,138258401,4.485491999999994,40.0,35.0,156.99221999999978,-186.9142704129815,2.9642601554179597,-5.136072193234,187.02436445899795,315
15,5,2,140958268,144543794,3.5855259999999873,50.0,45.0,161.34866999999943,-183.2798679650944,3.189217321653964,-4.526490736401978,183.385839188493,252
16,6,2,147243674,150229211,2.9855369999999937,60.0,55.0,164.20453499999965,-181.16933292127686,3.2752387286729814,-4.300991298174053,181.2678885681396,210
17,7,2,152929110,155486110,2.556999999999988,70.0,65.0,166.20499999999922,-178.72723357849918,3.4588702375998666,-4.000322675849976,178.82633820266625,180
18,8,2,158185959,160428707,2.242748000000006,80.0,75.0,168.20610000000045,-177.34191525705842,3.20718563954196,-3.911910009896006,177.43826995332557,158
19,9,2,163128581,165128488,1.9999070000000074,90.0,85.0,169.99209500000063,-176.23471867974678,3.1739862798030725,-3.754046211863993,176.3382782771907,141
20,10,2,167828337,169628268,1.7999309999999866,100.0,95.0,170.99344499999873,-174.99526184545016,3.5598787017988816,-3.7653714079619647,175.1045287487832,127
21,1,3,172328138,190327238,17.9991,10.0,55.0,989.9504999999999,-222.15747397159927,1.2428408176999524,-11.703153587799935,222.57085548078675,1261
22,2,3,193027091,202026663,8.999572,20.0,15.0,134.99358,-199.77518219031222,2.521547815388004,-7.235465779644113,200.06225817193223,631
23,3,3,204726511,210726228,5.999717000000004,30.0,25.0,149.9929250000001,-191.79924596765642,2.848934699093049,-5.848328981284,191.94006715421747,421
24,4,3,213426049,217911570,4.485521000000006,40.0,35.0,156.9932350000002,-186.85684372189155,2.984978440109007,-5.055546237742053,186.96855485832458,315
25,5,3,220611442,224196941,3.5854989999999987,50.0,45.0,161.34745499999994,-183.62662274597903,3.156053780471005,-4.6728959035479765,183.7382498400332,252
26,6,3,226896825,229882406,2.9855809999999963,60.0,55.0,164.2069549999998,-180.86015269950076,3.1997230222491053,-4.276413146712031,180.95756553858996,210
27,7,3,232582272,235139279,2.5570069999999987,70.0,65.0,166.20545499999992,-179.5448769920461,2.629513691103094,-4.020238809914,179.63637200718912,180
28,8,3,237839127,240081862,2.2427350000000104,80.0,75.0,168.20512500000078,-177.54405060403542,3.4992730088150212,-3.7816723244700103,177.6500410796969,158
