order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples
1,1,1,13378922,31378028,17.999106,10.0,nan,nan,-43.05471137155928,-185.51281849861385,-9.981732325062561,191.2920174685519,1261
2,2,1,34077917,43077475,8.999558,20.0,15.0,134.99337,-19.389290273209667,-184.29734484600593,-5.947627663018536,185.7333630787192,631
3,3,1,45777333,51777045,5.999712000000002,30.0,25.0,149.99280000000005,-11.651164071766607,-182.82839004926478,-4.340738406436205,183.39567393176313,421
4,4,1,54476872,58962370,4.485498,40.0,35.0,156.99242999999998,-7.676522708637247,-181.0492727791103,-3.6581342562215373,181.3426244351599,315
5,5,1,61662214,65247766,3.585552,50.0,45.0,161.34984,-5.282702116803622,-180.72322683336978,-3.14414604766903,180.91970608867678,252
6,6,1,67947623,70933188,2.9855650000000082,60.0,55.0,164.20607500000045,-3.789061527183658,-179.1607866522363,-2.854430045754614,179.31665691205274,210
7,7,1,73633053,76190092,2.557039000000003,70.0,65.0,166.2075350000002,-2.747100113400906,-177.71503603800824,-2.7047979646820117,177.83882618789409,180
8,8,1,78889955,81132711,2.242756,80.0,75.0,168.2067,-1.9802084021184743,-177.5961122183807,-2.428645287796193,177.69906864794606,158
9,9,1,83832568,85832451,1.9998830000000112,90.0,85.0,169.99005500000095,-1.2899994346258876,-176.92781333324484,-2.2918201153199167,177.0244745363259,141
10,10,1,88532314,90332239,1.7999250000000018,100.0,95.0,170.99287500000017,-0.8205998297252542,-175.66176120492875,-2.2105777508406526,175.7570276087918,127
11,1,2,93032101,111031208,17.99910700000001,10.0,55.0,989.9508850000005,-42.199655351680036,-185.01658184228978,-9.904683264005174,190.52513075202307,1261
12,2,2,113731053,122730596,8.999543000000003,20.0,15.0,134.99314500000003,-19.284724835026825,-183.8692358296356,-5.909849381906941,185.36441486751,631
13,3,2,125430474,131430158,5.999684000000002,30.0,25.0,149.99210000000005,-11.583839152198069,-182.74318528929967,-4.388001301424641,183.29517684705715,421
14,4,2,134130026,138615515,4.485489000000001,40.0,35.0,156.99211500000004,-7.52405328521808,-181.23524867770053,-3.580865446187227,181.52595924056558,315
15,5,2,141315415,144900936,3.585521,50.0,45.0,161.348445,-5.375808826677073,-180.26062315678934,-3.2132055702601265,180.4462357241227,252
16,6,2,147600812,150586363,2.985551000000015,60.0,55.0,164.20530500000083,-3.9360453075708906,-179.12286209594697,-2.90570743424386,179.2773709854272,210
17,7,2,153286214,155843219,2.5570050000000037,70.0,65.0,166.20532500000024,-2.7592545892174396,-177.6160444743199,-2.539503332809705,177.74967417845036,180
18,8,2,158543107,160785827,2.24272000000002,80.0,75.0,168.20400000000149,-1.6212388497535484,-177.05264016051296,-2.4612952432795887,177.1692614566686,158
19,9,2,163485725,165485636,1.9999109999999973,90.0,85.0,169.99243499999977,-1.1015769993350608,-176.510075183638,-2.328528082136387,176.62266820003703,141
20,10,2,168185474,169985370,1.7998959999999897,100.0,95.0,170.99011999999902,-0.6936638756369806,-175.41680619109826,-2.213808543050972,175.52407778812022,127
21,1,3,172685272,190684359,17.999087000000003,10.0,55.0,989.9497850000001,-42.30831434229606,-184.96002238234638,-9.838543572213556,190.544407861478,1261
22,2,3,193384201,202383755,8.999554000000018,20.0,15.0,134.99331000000026,-19.39048563162207,-183.7661189019863,-5.60049427255859,185.16317570790642,631
23,3,3,205083606,211083313,5.999707000000001,30.0,25.0,149.99267500000002,-11.571285023419653,-182.81905319934538,-4.312837747629306,183.35418224252243,421
24,4,3,213783220,218268691,4.48547099999999,40.0,35.0,156.99148499999964,-7.501926056454254,-180.95835569503464,-3.6725027678983837,181.26214494049026,315
25,5,3,220968574,224554069,3.5854950000000088,50.0,45.0,161.3472750000004,-5.384578536211963,-180.24401193136538,-3.1564754024393222,180.44188193658928,252
26,6,3,227253963,230239533,2.9855699999999956,60.0,55.0,164.20634999999976,-3.6048078526592695,-178.77835841931358,-2.909596493409625,178.90127937649046,210
27,7,3,232939370,235496415,2.5570450000000164,70.0,65.0,166.20792500000107,-2.833748377882599,-178.4332550197147,-2.432940087324056,178.586468308223,180
28,8,3,238196260,240439007,2.2427470000000085,80.0,75.0,168.20602500000064,-1.9259104900836603,-177.64599933034503,-2.4633861952452794,177.73344743860667,158
29,9,3,243138872,245138792,1.999920000000003,90.0,85.0,169.99320000000026,-1.2614889495107473,-176.65416901607261,-2.3855907758480024,176.79744836546817,141
30,10,3,247838623,249638574,1.799950999999993,100.0,95.0,170.99534499999933,-0.7504736214196713,-175.27941732942622,-2.287593649808094,175.41639560733734,127
31,1,4,252338415,270337510,17.99909500000001,10.0,55.0,989.9502250000006,-42.254532761909985,-185.54318458068593,-9.589127700477768,191.17309315987248,1261
32,2,4,273037407,282036916,8.999509000000046,20.0,15.0,134.9926350000007,-18.755120409537348,-183.41174516003815,-5.539171281597092,184.7700440593336,631
33,3,4,284736812,290736516,5.999704000000008,30.0,25.0,149.9926000000002,-11.344389485881472,-182.71146095975087,-4.171602889892902,183.24102467900693,421
34,4,4,293436364,297921836,4.485471999999959,40.0,35.0,156.99151999999856,-7.449905601566501,-181.36812138802077,-3.5188294246545655,181.65454519146283,315
35,5,4,300621724,304207238,3.585514000000046,50.0,45.0,161.34813000000207,-5.133134880836963,-180.18482530010556,-3.161121386342928,180.38697513874283,252
36,6,4,306907101,309892690,2.9855890000000045,60.0,55.0,164.20739500000025,-3.75871896274076,-178.90442200328866,-2.8550500727619825,179.05800795417525,210
37,7,4,312592523,315149573,2.557049999999947,70.0,65.0,166.20824999999655,-2.7517049195921723,-178.3358038400398,-2.661025555899289,178.4514685220385,180
38,8,4,317849437,320092176,2.242738999999972,80.0,75.0,168.2054249999979,-1.8752852958297443,-177.403295227941,-2.444335256340901,177.5171862123945,158
39,9,4,322792046,324791950,1.9999039999999582,90.0,85.0,169.99183999999644,-1.3395068490255455,-176.79172833949735,-2.3406444873569434,176.88986675396717,141
40,10,4,327491812,329291718,1.7999060000000213,100.0,95.0,170.99107000000203,-0.7895838728504235,-175.19306820445362,-2.302647091856738,175.29705045464513,127
41,1,5,331991553,349990674,17.999121000000002,10.0,55.0,989.9516550000001,-42.26238000948059,-185.09356266128233,-9.669764047883698,190.69192248486084,1261
42,2,5,352690518,361690102,8.999584000000027,20.0,15.0,134.9937600000004,-19.08776714530187,-183.4436872051603,-5.7313163338277615,184.7657705027204,631
43,3,5,364389949,370389648,5.999699000000021,30.0,25.0,149.99247500000052,-11.4745479012492,-182.63947033541152,-4.189207818391639,183.15977626413854,421
44,4,5,373089521,377574994,4.485473000000013,40.0,35.0,156.99155500000046,-7.485529428942331,-180.99391393004333,-3.4545694890153986,181.28812758087668,315
45,5,5,380274872,383860408,3.5855359999999905,50.0,45.0,161.34911999999957,-5.256385567368195,-180.13118543281934,-3.159964858354856,180.30420523665714,252
46,6,5,386560261,389545818,2.9855569999999716,60.0,55.0,164.20563499999844,-3.8122216590613234,-179.17430361001126,-2.8767605083997374,179.32848778971078,210
47,7,5,392245685,394802716,2.557030999999995,70.0,65.0,166.20701499999967,-2.4997327880772557,-177.88451371620377,-2.5842933616745727,178.01307367432355,180
48,8,5,397502591,399745345,2.242753999999991,80.0,75.0,168.2065499999993,-1.6992153496283704,-176.72760633227477,-2.4928535360579405,176.85621492016276,158
49,9,5,402445176,404445088,1.9999119999999948,90.0,85.0,169.99251999999956,-1.1574174099764818,-176.95070846003335,-2.250459823962135,177.06172247913727,141
50,10,5,407144949,408944891,1.7999419999999873,100.0,95.0,170.9944899999988,-0.8315856662100832,-175.9952495937973,-2.1049601938815625,176.10194867231326,127
