order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples
1,1,1,7279215,25278338,17.999123,10.0,nan,nan,-41.99399956808019,2.8338079120542297,173.12736650703113,178.64801475848418,1261
2,2,1,27978213,36977760,8.999547000000003,20.0,15.0,134.99320500000005,-20.16811835616528,1.1473669581116896,177.06788472404224,178.38490475698256,631
3,3,1,39677620,45677302,5.999682,30.0,25.0,149.99205,-12.841547010118976,0.7348443552802091,177.46767266222048,178.06356907938584,421
4,4,1,48377168,52862660,4.485492000000001,40.0,35.0,156.99222000000003,-9.096799320803163,0.4773118925062451,176.6978808458869,177.06024672942522,315
5,5,1,55562519,59148067,3.5855479999999957,50.0,45.0,161.3496599999998,-7.092315936203981,0.40297261193587675,175.8501062460358,176.1051408855025,252
6,6,1,61847920,64833483,2.985562999999999,60.0,55.0,164.20596499999994,-5.62731181035488,0.36323436168693785,175.27782402024548,175.48034643077636,210
7,7,1,67533358,70090394,2.5570359999999965,70.0,65.0,166.20733999999976,-4.525584735189758,0.36368298363379525,174.4612327284609,174.6076230369358,180
8,8,1,72790271,75032969,2.24269799999999,80.0,75.0,168.20234999999926,-3.8473648181694324,0.11971658320321893,174.2448861605068,174.38092953086817,158
9,9,1,77732862,79732742,1.9998800000000045,90.0,85.0,169.9898000000004,-3.2388698051199287,0.20487834445278472,173.0908682918241,173.21630036474318,141
10,10,1,82432616,84232541,1.7999250000000018,100.0,95.0,170.99287500000017,-2.8802881753499316,0.3636857122847372,172.08473264117137,172.20367701404624,127
11,1,2,86932419,104931490,17.999071,10.0,55.0,989.9489050000001,-41.37448420361958,1.5262813042485288,173.92498576318638,179.39400947728433,1261
12,2,2,107631381,116630901,8.99951999999999,20.0,15.0,134.99279999999985,-19.887327992421532,0.8126046006942714,176.7521713973892,178.04571225028775,631
13,3,2,119330784,125330483,5.999699000000007,30.0,25.0,149.99247500000018,-12.72303872038424,0.505970275138216,177.53913540089866,178.1303016125926,421
14,4,2,128030331,132515810,4.485478999999998,40.0,35.0,156.99176499999993,-9.201651822953863,0.45988815041665476,176.67466648923906,177.02158454815043,315
15,5,2,135215682,138801236,3.585554000000002,50.0,45.0,161.34993000000009,-6.982741653301304,0.3820721079419029,176.16238069209626,176.3764177350325,252
16,6,2,141501076,144486670,2.985593999999992,60.0,55.0,164.20766999999955,-5.579861804540911,0.3891521752786712,174.94362631686678,175.1527428654005,210
17,7,2,147186519,149743565,2.5570459999999855,70.0,65.0,166.20798999999906,-4.704259338697835,0.25108742801745093,174.61421089107262,174.78539665263764,180
18,8,2,152443413,154686122,2.242709000000019,80.0,75.0,168.20317500000144,-4.065290815172332,0.08724153749247118,174.12166854182684,174.28146840106552,158
19,9,2,157386020,159385925,1.999904999999984,90.0,85.0,169.99192499999864,-3.1394587603997297,0.15362845087805857,173.52399762348932,173.65429398711234,141
20,10,2,162085791,163885675,1.7998839999999916,100.0,95.0,170.9889799999992,-2.8322753773135902,0.5528994143254604,172.35649590409065,172.48072404333834,127
