order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples,,,,,,,,
1,1,1,7279215,25278338,17.999123,10,nan,nan,-40.27840364,-0.72897398,170.228657,175.3873798,1261,,,175.3873798,0,0,0,0,0
2,2,1,27978213,36977760,8.999547,20,15,134.993205,-19.343697,-0.626514187,174.2606244,175.4947618,631,,,0,0,0,0,0,0
3,3,1,39677620,45677302,5.999682,30,25,149.99205,-12.31624864,-0.44690257,174.7046048,175.2651834,421,,,0,175.2651834,0,0,0,0
4,4,1,48377168,52862660,4.485492,40,35,156.99222,-8.724362189,-0.404180308,173.9716966,174.3145633,315,,,0,0,0,0,0,0
5,5,1,55562519,59148067,3.585548,50,45,161.34966,-6.801824495,-0.302258671,173.1516988,173.3931791,252,,,0,0,173.3931791,173.3931791,0,0
6,6,1,61847920,64833483,2.985563,60,55,164.205965,-5.396632496,-0.224758857,172.5980414,172.7906334,210,,,0,0,0,0,0,0
7,7,1,67533358,70090394,2.557036,70,65,166.20734,-4.339854909,-0.14137833,171.8008717,171.9398969,180,,,0,0,0,0,171.9398969,0
8,8,1,72790271,75032969,2.242698,80,75,168.20235,-3.6893749,-0.317707593,171.5930304,171.7233482,158,,,0,0,0,0,0,0
9,9,1,77732862,79732742,1.99988,90,85,169.9898,-3.105714342,-0.187918586,170.4603897,170.5803632,141,,,0,0,0,0,0,170.5803632
10,10,1,82432616,84232541,1.799925,100,95,170.992875,-2.761845263,0.005168457,169.4726954,169.5859965,127,,,0,0,0,0,0,0
11,1,2,86932419,104931490,17.999071,10,55,989.948905,-39.68383439,-2.000074019,171.0143098,176.1556014,1261,,,176.1556014,0,0,0,0,0
12,2,2,107631381,116630901,8.99952,20,15,134.9928,-19.07421326,-0.951947703,173.9496484,175.1651472,631,,,0,0,0,0,0,0
13,3,2,119330784,125330483,5.999699,30,25,149.992475,-12.20251231,-0.669405467,174.774995,175.3318971,421,,,0,175.3318971,0,0,0,0
14,4,2,128030331,132515810,4.485479,40,35,156.991765,-8.824992611,-0.421116257,173.9488308,174.2762159,315,,,0,0,0,0,0,0
15,5,2,135215682,138801236,3.585554,50,45,161.34993,-6.696662434,-0.322578227,173.4592879,173.6614473,252,,,0,0,173.6614473,173.6614473,0,0
16,6,2,141501076,144486670,2.985594,60,55,164.20767,-5.351093118,-0.199568892,172.2688574,172.4677105,210,,,0,0,0,0,0,0
17,7,2,147186519,149743565,2.557046,70,65,166.20799,-4.511334806,-0.250839872,171.9515545,172.1151217,180,,,0,0,0,0,172.1151217,0
18,8,2,152443413,154686122,2.242709,80,75,168.203175,-3.898525652,-0.349280291,171.4716613,171.6246663,158,,,0,0,0,0,0,0
19,9,2,157386020,159385925,1.999905,90,85,169.991925,-3.010306249,-0.237745935,170.8870201,171.0122165,141,,,0,0,0,0,0,171.0122165
20,10,2,162085791,163885675,1.799884,100,95,170.98898,-2.715765853,0.18912022,169.7403818,169.8589144,127,,,0,0,0,0,0,0
21,1,3,166585536,184584665,17.999129,10,55,989.952095,-39.64580197,-2.236980006,171.1000618,176.1453996,1261,,,176.1453996,0,0,0,0,0
22,2,3,187284503,196284068,8.999565,20,15,134.993475,-19.19973468,-1.125308581,174.4320396,175.6864806,631,,,0,0,0,0,0,0
23,3,3,198983956,204983633,5.999677,30,25,149.991925,-12.26565543,-0.767690761,174.8954275,175.4498536,421,,,0,175.4498536,0,0,0,0
24,4,3,207683514,212169020,4.485506,40,35,156.99271,-8.876605873,-0.577521766,174.2412692,174.5794828,315,,,0,0,0,0,0,0
25,5,3,214868862,218454407,3.585545,50,45,161.349525,-6.669967004,-0.410846717,173.5374385,173.761105,252,,,0,0,173.761105,173.761105,0,0
26,6,3,221154243,224139840,2.985597,60,55,164.207835,-5.262023264,-0.229346173,172.294497,172.4587362,210,,,0,0,0,0,0,0
27,7,3,226839666,229396681,2.557015,70,65,166.205975,-4.506471009,-0.084681976,171.1068837,171.2863989,180,,,0,0,0,0,171.2863989,0
28,8,3,232096597,234339294,2.242697,80,75,168.202275,-3.841079764,-0.279831982,171.0695631,171.1947727,158,,,0,0,0,0,0,0
29,9,3,237039174,239039105,1.999931,90,85,169.994135,-3.244222213,-0.168326362,171.4583371,171.599434,141,,,0,0,0,0,0,171.599434
